,No,gross,budget,aspect_ratio,title_year,director_name,actor_1_name,actor_2_name,actor_3_name,color,duration,language
3564,0065214,,6244087.0,2.20 : 1 (70 mm prints),1969.0,Sam Peckinpah,William Holden,Ernest Borgnine,Robert Ryan,Color::(Technicolor),145,English
3565,1082886,2899975.0,6000000.0,2.35 : 1,2008.0,Jonathan Levine,Ben Kingsley,Josh Peck,Famke Janssen,Color,99,English
3566,0079240,,6000000.0,1.85 : 1,1978.0,Michael Crichton,Sean Connery,Donald Sutherland,Lesley-Anne Down,Color,110,English
3567,0300214,,,1.85 : 1,2002.0,Lynne Ramsay,Samantha Morton,Kathleen McDermott,Paul Popplewell,Color,97,English
3568,0101412,,6000000.0,1.85 : 1,1991.0,Sylvio Tabet,Marc Singer,Kari Wuhrer,Sarah Douglas,Color,107,English
3569,1130964,,6000000.0,1.85 : 1,2010.0,Rick Bieber,Andie MacDowell,Aidan Quinn,Ryan Merriman,Color,101,English
3570,0322289,,,1.66 : 1,2003.0,Claude Chabrol,Nathalie Baye,Benoît Magimel,Suzanne Flon,Color,104,French
3571,1226232,,6000000.0,2.35 : 1,2009.0,Shana Feste,Carey Mulligan,Aaron Taylor-Johnson,Pierce Brosnan,Color,99,English
3572,1541995,11348205.0,6000000.0,2.35 : 1,2011.0,Wayne Wang,Russell Wong,Bingbing Li,Archie Kao,,104,English
3573,0457308,,6000000.0,1.85 : 1,2006.0,Joey Lauren Adams,Ashley Judd,Jason T. Davis,Richard Lee Crow,Color,97,English
3574,0246134,,6000000.0,2.35 : 1,2001.0,Peter Cattaneo,James Nesbitt,Olivia Williams,Timothy Spall,Color,107,English
3575,0076245,,7840000.0,1.85 : 1,1977.0,Fred Zinnemann,Jane Fonda,Vanessa Redgrave,Jason Robards,Color,117,English
3576,0976247,,6000000.0,1.85 : 1,2008.0,S.R. Bindler,Matthew McConaughey,Alexie Gilmore,Jeffrey Nordling,Color,85,English
3577,0841119,,,,2006.0,Tony Kaye,Bill Baird,Flip Benham,Dallas Blanchard,Black and White,152,English
3578,0331811,,6000000.0,1.85 : 1,2003.0,Greg Marcks,Henry Thomas,Blake Heron,Barbara Hershey,Color,86,English
3579,0110490,,8600000.0,2.39 : 1,1994.0,Perry Lang,Dolph Lundgren,Charlotte Lewis,BD Wong,Color,102,English
3580,1281374,,,1.85 : 1,2009.0,Jake Goldberger,Thomas Haden Church,Rachel Harker,Stephen Benson,Color,87,English
3581,1667310,,12000000.0,2.35 : 1,2012.0,Stefan Ruzowitzky,Eric Bana,Olivia Wilde,Dennis Lafond,Color,95,English
3582,1014774,,,2.35 : 1,2009.0,Vic Sarin,Connie Nielsen,Aidan Quinn,John Bell,Color,101,English
3583,1575694,,6000000.0,1.85 : 1,2011.0,William Kaufman,Cuba Gooding Jr.,Cole Hauser,Jonathan LaPaglia,Color,90,English
3584,1366312,,,1.78 : 1,2009.0,,Romola Garai,Michael Gambon,Jonny Lee Miller,Color,240,English
3585,0086541,,5952000.0,4:3 (pillarbox) (certain scenes),1983.0,David Cronenberg,James Woods,Sonja Smits,Debbie Harry,Color,87,English
3586,0283900,,,1.85 : 1,2002.0,Cédric Klapisch,Romain Duris,Judith Godrèche,Audrey Tautou,Color,122,French
3587,2182972,,6000000.0,,2014.0,Kate Barker-Froyland,Anne Hathaway,Mary Steenburgen,Johnny Flynn,Color,86,English
3588,0795441,,,2.35 : 1,2008.0,Martin Koolhoven,Martijn Lakemeier,Yorick van Wageningen,Jamie Campbell Bower,Color,103,Dutch
3589,0938305,,6000000.0,,2012.0,Charles Matthau,Billy Burke,Christian Slater,Crispin Glover,,90,English
3590,0059825,6000000.0,6700000.0,1.66 : 1,1964.0,John Frankenheimer,Burt Lancaster,Paul Scofield,Jeanne Moreau,Black and White,133,English
3591,1772408,,,2.35 : 1,2012.0,Christopher M. Bessette,Dermot Mulroney,Mira Sorvino,John Billingsley,Color,88,English
3592,0427954,,,1.85 : 1,2005.0,Prachya Pinkaew,Tony Jaa,Petchtai Wongkamlao,Bongkoj Khongmalai,Color,111,Thai
3593,0120210,,,1.85 : 1,1997.0,Gary Sinyor,David Artus,Kevin Furlong,Nicholas Selby,Color::(Metrocolor),94,Latin
3594,1220617,,,16:9,2008.0,,Simon Bird,James Buckley,Blake Harrison,Color,25,English
3595,0286499,76583333.0,,1.85 : 1,2002.0,Gurinder Chadha,Parminder Nagra,Keira Knightley,Jonathan Rhys Meyers,Color,112,English
3596,0286179,,5600000.0,1.85 : 1,2002.0,John Sayles,Alex Lewis,Alan King,Cullen Douglas,Color,141,English
3597,0473024,,5800000.0,1.85 : 1,2006.0,Preston A. Whitmore II,Anthony Mackie,Wesley Jonathan,Eva Marcille,Color,95,English
3598,2166214,,,,2012.0,Ashish R. Mohan,Akshay Kumar,Asin Thottumkal,Himesh Reshammiya,Color,141,Hindi
3599,1245112,18497446.0,5600000.0,1.85 : 1,2009.0,Jaume Balagueró,Jonathan D. Mellor,Óscar Zafra,Ariel Casas,Color,85,Spanish
3600,1303803,,,,2010.0,Stewart Raffill,Devon Jordan,Ashley Cutrona,Erika Corvette,Color,105,English
3601,0070735,8299101.0,5500000.0,1.85 : 1,1973.0,George Roy Hill,Paul Newman,Robert Redford,Robert Shaw,Color::(Technicolor),129,English
3602,0082158,,5500000.0,1.85 : 1,1981.0,Hugh Hudson,Nicholas Farrell,Nigel Havers,Ian Charleson,Color,125,English
3603,0422093,50652203.0,5500000.0,1.85 : 1,2005.0,Darren Grant,Kimberly Elise,Steve Harris,Tyler Perry,Color,116,English
3604,0117631,,5500000.0,1.85 : 1,1996.0,Scott Hicks,Geoffrey Rush,Justin Braine,Sonia Todd,Color,105,English
3605,2229499,30450756.0,3000000.0,2.35 : 1,2013.0,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Scarlett Johansson,Julianne Moore,Color,90,English
3606,0068699,,5500000.0,2.39 : 1,1973.0,Clint Eastwood,Clint Eastwood,Verna Bloom,Marianna Hill,Color::(Technicolor),105,English
3607,0162346,2543544.0,7000000.0,1.85 : 1,2001.0,Terry Zwigoff,Thora Birch,Scarlett Johansson,Steve Buscemi,Color,111,English
3608,0280778,,5500000.0,1.85 : 1,2001.0,Richard Eyre,Kate Winslet,Hugh Bonneville,Judi Dench,Color,91,English
3609,0080771,,,2.39 : 1,1980.0,William Sachs,Stephen Macht,Avery Schreiber,J.D. Hinton,Color,95,English
3610,0372824,83580170.0,,2.35 : 1,2004.0,Christophe Barratier,Gérard Jugnot,François Berléand,Kad Merad,Color,97,French
3611,0330602,,,1.85 : 1,2003.0,Émile Gaudreault,Luke Kirby,Ginette Reno,Paul Sorvino,Color,88,English
3612,0335563,2466444.0,5000000.0,1.85 : 1,2003.0,James Cox,Kate Bosworth,Carrie Fisher,Val Kilmer,Color,104,English
3613,0097216,,6500000.0,1.66 : 1 (negative ratio),1989.0,Spike Lee,Danny Aiello,Ossie Davis,Ruby Dee,Color,120,English
3614,0242508,8000000.0,5500000.0,2.35 : 1,2001.0,James Toback,Adrian Grenier,Sarah Michelle Gellar,Joey Lauren Adams,Color,99,English
3615,1508675,,,1.85 : 1,2011.0,Aki Kaurismäki,André Wilms,Kati Outinen,Jean-Pierre Darroussin,Color,93,French
3616,0290673,,,2.35 : 1,2002.0,Gaspar Noé,Monica Bellucci,Vincent Cassel,Albert Dupontel,Color,97,French
3617,2914838,,5500000.0,1.85 : 1,2013.0,Hitoshi Matsumoto,Nao Ômori,Mao Daichi,Shinobu Terajima,Color,99,Japanese
3618,0405508,,,2.35 : 1,2006.0,Rakeysh Omprakash Mehra,Aamir Khan,Siddharth,Sharman Joshi,Color,167,Hindi
3619,3297554,,,2.35 : 1,2014.0,Collin Schiffli,David Dastmalchian,Kim Shaw,John Heard,Color,90,English
3620,1251743,,9000000.0,1.85 : 1,2011.0,George Ratliff,Jennifer Connelly,Greg Kinnear,Pierce Brosnan,Color,96,English
3621,0811106,786677.0,5250000.0,1.85 : 1,2007.0,David Wain,Paul Rudd,Adam Brody,Jon Hamm,Color,96,English
3622,0202559,,,1.85 : 1,1999.0,Shane Meadows,Martin Arrowsmith,Dave Blant,Darren Campbell,Color::(Technicolor),90,English
3623,1614989,,,2.39:1,2011.0,Morten Tyldum,Aksel Hennie,Synnøve Macody Lund,Nikolaj Coster-Waldau,Color,100,Norwegian
3624,1525366,,,2.35 : 1,2012.0,Jon Wright,Killian Coyle,Stuart Graham,Michael Hough,Color,94,English
3625,0384488,,,1.85 : 1,2004.0,Michael McGowan,Adam Butcher,Michael Kanevsky,Gordon Pinsent,Color,98,English
3626,2667960,,,1.85 : 1,2014.0,Liv Ullmann,Colin Farrell,Jessica Chastain,Samantha Morton,Color,129,English
3627,0081534,,5100000.0,1.85 : 1,1980.0,Jeannot Szwarc,Christopher Reeve,Jane Seymour,Christopher Plummer,Color,103,English
3628,1618430,,,,2011.0,Rohan Sippy,Abhishek Bachchan,Bipasha Basu,Rana Daggubati,Color,128,Hindi
3629,2226417,161919318.0,5000000.0,2.35 : 1,2013.0,James Wan,Patrick Wilson,Rose Byrne,Barbara Hershey,Color,106,English
3630,0432348,147748505.0,4000000.0,1.85 : 1,2005.0,Darren Lynn Bousman,Tobin Bell,Shawnee Smith,Donnie Wahlberg,Color,93,English
3631,1179933,110216998.0,15000000.0,2.39 : 1,2016.0,Dan Trachtenberg,John Goodman,Mary Elizabeth Winstead,John Gallagher Jr.,Color,103,English
3632,0322802,79493831.0,5000000.0,1.85 : 1,2002.0,Jeff Tremaine,Johnny Knoxville,Bam Margera,Steve-O,Color,85,English
3633,4786282,148868835.0,4900000.0,2.35 : 1,2016.0,David F. Sandberg,Teresa Palmer,Gabriel Bateman,Alexander DiPersia,Color,81,English
3634,1778304,207039844.0,5000000.0,1.85 : 1,2011.0,Henry Joost,Lauren Bittner,Christopher Nicholas Smith,Chloe Csengery,Color,83,English
3635,1204977,103590271.0,5000000.0,2.35 : 1,2014.0,Stiles White,Olivia Cooke,Ana Coto,Daren Kagasoff,Color,89,English
3636,0093629,,4500000.0,1.85 : 1,1987.0,Chuck Russell,Heather Langenkamp,Craig Wasson,Patricia Arquette,Color,96,English
3637,2378281,99067206.0,5000000.0,1.85 : 1,2013.0,Eugenio Derbez,Andrés Vázquez,Hugo Stiglitz,Eugenio Derbez,Color,115,Spanish
3638,2109184,142838957.0,5000000.0,1.85 : 1,2012.0,Henry Joost,Katie Featherston,Kathryn Newton,Matt Shively,Color,88,English
3639,0046247,680187.0,5000000.0,1.37 : 1 (spherical version),1953.0,Henry Koster,Richard Burton,Jean Simmons,Victor Mature,Color::(Technicolor),135,English
3640,0072081,,5000000.0,2.35 : 1,1975.0,Blake Edwards,Peter Sellers,Christopher Plummer,Catherine Schell,Color,113,English
3641,0101917,,11000000.0,1.85 : 1,1991.0,Rachel Talalay,Robert Englund,Lisa Zane,Shon Greenblatt,Color,89,English
3642,0340855,64240813.0,4500000.0,1.85 : 1,2003.0,Patty Jenkins,Charlize Theron,Christina Ricci,Bruce Dern,Color,109,English
